"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.500621659429777,0.495525962077019,0.500621659429777,290.194245917528,298.009756475492,"7"
2,0.862726543047318,0.859896162491593,0.431363271523659,163.05534257206,173.476023316012,"7,10"
3,0.980472201894524,0.979861958203728,0.326824067298175,-29.9582552507976,-16.9324043208572,"6,7,10"
4,0.981088670157143,0.980292403637444,0.245272167539286,-31.1660341780504,-15.5350130621218,"5,6,7,10"
5,0.981483485651381,0.98049856467539,0.196296697130276,-31.2758545438672,-13.0396632419505,"1,5,6,7,10"
6,0.981626964835119,0.980441607727707,0.163604494139186,-30.0537437246081,-9.21238223670336,"1,4,5,6,7,10"
7,0.981763328195912,0.980375755341254,0.140251904027987,-28.7987045709294,-5.35217289703657,"1,4,5,6,7,8,10"
8,0.981799448485307,0.980199400000499,0.122724931060663,-26.9969650196495,-0.945263159768615,"1,2,4,5,6,7,8,10"
9,0.981825243273389,0.980007767600728,0.109091693697043,-25.1387908551011,3.51808119076789,"1,2,3,4,5,6,7,8,10"
10,0.981827179786477,0.979785289874845,0.0981827179786477,-23.149446382937,8.11259584892006,"1,2,3,4,5,6,7,8,9,10"
