"metric","MAE","Bias","Variance","HitRate","n_correct","n_underfit","n_overfit"
"M_p",8.8,-8.8,11.2,0,0,5,0
"M_p_sqrt",6.4,-6.4,3.3,0,0,5,0
"AIC",0,0,0,1,5,0,0
"BIC",0,0,0,1,5,0,0
