"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.553566755505972,0.549011314235625,0.553566755505972,263.379000956745,271.194511514709,"1"
2,0.861343389617129,0.858484490433977,0.430671694808565,148.45005765264,158.870738396593,"1,2"
3,0.978699248768576,0.978033600292594,0.326233082922859,-36.8757529985183,-23.8499020685778,"1,2,3"
4,0.978995645963072,0.978111252108886,0.244748911490768,-36.2770119835309,-20.6459908676024,"1,2,3,4"
5,0.979222534271983,0.978117349924749,0.195844506854397,-35.3630850191697,-17.1268937172531,"1,2,3,4,5"
6,0.979400191182053,0.978071171258315,0.163233365197009,-34.2218076089303,-13.3804461210255,"1,2,3,4,5,7"
7,0.979588965914355,0.978035952451317,0.139941280844908,-33.1424229984578,-9.69589132456499,"1,2,3,4,5,6,7"
8,0.979706924159559,0.977922917492268,0.122463365519945,-31.7220134900716,-5.67031163019072,"1,2,3,4,5,6,7,9"
9,0.979775445935623,0.977752990529185,0.108863938437291,-30.0602457191011,-1.40337367323205,"1,2,3,4,5,6,7,9,10"
10,0.979775757822938,0.97750337106147,0.0979775757822938,-28.0617878530774,3.20025437877965,"1,2,3,4,5,6,7,8,9,10"
