"p","R2","M_p","AIC","BIC"
1,0.32091896756927,0.32091896756927,2331.50719706624,2335.72180516467
2,0.513172894453333,0.256586447226667,2167.09148674536,2175.5207029422
3,0.663591199257502,0.221197066419167,1984.30051107585,1996.94433537111
4,0.799982651698036,0.199995662924509,1726.33901857491,1743.1974509686
5,0.855545993911178,0.171109198782236,1565.61754638794,1586.69058688005
6,0.914142640596502,0.152357106766084,1307.48062025052,1332.76826884105
7,0.966724077008763,0.13810343957268,835.554017514691,865.056274203646
8,0.97928144240021,0.122410180300026,600.651866956093,634.36873174347
9,0.992778631595618,0.110308736843958,75.6591987464431,113.590671632243
10,0.999739369682385,0.0999739369682384,-1583.18917523125,-1541.04309424703
