"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",1,5,-4,1,0,4,1,0.2,0.333333333333333,4,FALSE,"1"
"AIC",8,5,3,5,3,0,0.625,1,0.769230769230769,3,FALSE,"1,2,3,4,5,8,9,10"
"BIC",7,5,2,5,2,0,0.714285714285714,1,0.833333333333333,2,FALSE,"1,2,3,4,5,9,10"
