"formulation","selection_rule","correct_rate","bic_match_rate","mean_error_true","median_error_true","mean_error_bic","median_error_bic"
"delta1_forward","max",0,0,13.3,16,13.4,16
"efficiency_change","max",0,0,13.3,16,13.4,16
"efficiency_change_shifted","max",0,0,13.3,16,13.4,16
"delta2_central","abs_min",0,0,14,16,14.1,16
"delta2_intuitive","abs_min",0,0,14,16,14.1,16
"ratio_metric","abs_max",0,0,14.1,16,14.2,16
"pct_change","abs_min",0,0,14.1,16,14.2,16
"pct_change","max",0,0,14.1,16,14.2,16
"ratio_metric","max",0,0,14.1,16,14.2,16
"delta1_backward","zero_crossing_ceil",0,0,NA,NA,NA,NA
"delta1_central","zero_crossing_ceil",0,0,NA,NA,NA,NA
"delta1_forward","zero_crossing_ceil",0,0,NA,NA,NA,NA
"efficiency_change","zero_crossing_ceil",0,0,NA,NA,NA,NA
"efficiency_change_shifted","zero_crossing_ceil",0,0,NA,NA,NA,NA
"kneedle_diff","zero_crossing_ceil",0,0,NA,NA,NA,NA
"l_method_distance","zero_crossing_ceil",0,0,NA,NA,NA,NA
"M_p","zero_crossing_ceil",0,0,NA,NA,NA,NA
"pct_change","zero_crossing_ceil",0,0,NA,NA,NA,NA
"ratio_metric","zero_crossing_ceil",0,0,NA,NA,NA,NA
"delta1_backward","zero_crossing_floor",0,0,NA,NA,NA,NA
"delta1_central","zero_crossing_floor",0,0,NA,NA,NA,NA
"delta1_forward","zero_crossing_floor",0,0,NA,NA,NA,NA
"efficiency_change","zero_crossing_floor",0,0,NA,NA,NA,NA
"efficiency_change_shifted","zero_crossing_floor",0,0,NA,NA,NA,NA
"kneedle_diff","zero_crossing_floor",0,0,NA,NA,NA,NA
"l_method_distance","zero_crossing_floor",0,0,NA,NA,NA,NA
"M_p","zero_crossing_floor",0,0,NA,NA,NA,NA
"pct_change","zero_crossing_floor",0,0,NA,NA,NA,NA
"ratio_metric","zero_crossing_floor",0,0,NA,NA,NA,NA
"delta1_backward","zero_crossing_round",0,0,NA,NA,NA,NA
"delta1_central","zero_crossing_round",0,0,NA,NA,NA,NA
"delta1_forward","zero_crossing_round",0,0,NA,NA,NA,NA
"efficiency_change","zero_crossing_round",0,0,NA,NA,NA,NA
"efficiency_change_shifted","zero_crossing_round",0,0,NA,NA,NA,NA
"kneedle_diff","zero_crossing_round",0,0,NA,NA,NA,NA
"l_method_distance","zero_crossing_round",0,0,NA,NA,NA,NA
"M_p","zero_crossing_round",0,0,NA,NA,NA,NA
"pct_change","zero_crossing_round",0,0,NA,NA,NA,NA
"ratio_metric","zero_crossing_round",0,0,NA,NA,NA,NA
