"scenario","formulation","selection_rule","p_selected","p_true","p_bic","error_true","error_bic","is_correct","matches_bic"
"A1_Baseline_Uncorrelated","delta1_central","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta1_central","abs_max",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta1_central","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta1_central","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta1_central","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_forward","min",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_forward","max",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_forward","abs_min",18,3,3,15,15,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_forward","abs_max",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_forward","zero_crossing_floor",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_forward","zero_crossing_ceil",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_forward","zero_crossing_round",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_central","min",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_central","max",4,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_central","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_central","abs_max",4,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_central","zero_crossing_floor",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_central","zero_crossing_ceil",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_central","zero_crossing_round",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_intuitive","min",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_intuitive","max",4,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_intuitive","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_intuitive","abs_max",4,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_intuitive","zero_crossing_floor",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta2_intuitive","zero_crossing_ceil",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta2_intuitive","zero_crossing_round",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta3_central","min",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_central","max",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta3_central","abs_min",18,3,3,15,15,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_central","abs_max",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta3_central","zero_crossing_floor",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_central","zero_crossing_ceil",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","delta3_central","zero_crossing_round",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","min",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","max",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","abs_min",17,3,3,14,14,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","abs_max",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","zero_crossing_floor",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","zero_crossing_ceil",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","delta3_forward","zero_crossing_round",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","min",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","max",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","abs_max",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","min",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","max",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","abs_max",2,3,3,1,1,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","efficiency_change_shifted","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","ratio_metric","min",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","ratio_metric","max",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","ratio_metric","abs_min",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","ratio_metric","abs_max",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","ratio_metric","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","ratio_metric","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","ratio_metric","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","pct_change","min",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","pct_change","max",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","pct_change","abs_min",19,3,3,16,16,FALSE,FALSE
"A1_Baseline_Uncorrelated","pct_change","abs_max",3,3,3,0,0,TRUE,TRUE
"A1_Baseline_Uncorrelated","pct_change","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","pct_change","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","pct_change","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","min",6,3,3,3,3,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","max",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","abs_min",6,3,3,3,3,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","abs_max",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","kneedle_diff","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","min",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","max",6,3,3,3,3,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","abs_min",1,3,3,2,2,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","abs_max",6,3,3,3,3,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","zero_crossing_floor",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","zero_crossing_ceil",-1,3,3,Inf,Inf,FALSE,FALSE
"A1_Baseline_Uncorrelated","l_method_distance","zero_crossing_round",-1,3,3,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","M_p","min",20,1,1,19,19,FALSE,FALSE
"A2_Single_Predictor","M_p","max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","M_p","abs_min",20,1,1,19,19,FALSE,FALSE
"A2_Single_Predictor","M_p","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","M_p","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","M_p","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","M_p","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_forward","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta1_forward","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta1_forward","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta1_forward","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta1_forward","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_forward","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_forward","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","min",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","max",20,1,1,19,19,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","abs_min",20,1,1,19,19,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_backward","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_central","min",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta1_central","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta1_central","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta1_central","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta1_central","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_central","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta1_central","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
