"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.448937127574981,0.443314037040032,0.448937127574981,271.761644487684,279.577155045648,83.5052550373525,151.534895954571
3,2,"1,2",0.846379511966611,0.843212079223654,0.423189755983305,146.025273365155,156.445954109107,23.2788646706301,151.534895954571
7,3,"1,2,3",0.972399760427575,0.971537252940937,0.324133253475858,-23.6408010955232,-10.6149501655827,4.18239943192869,151.534895954571
15,4,"1,2,3,4",0.97345482074071,0.972337128982425,0.243363705185178,-25.5384304754084,-9.90740935947988,4.02252097715189,151.534895954571
1039,5,"1,2,3,4,11",0.974465466879025,0.973107247032165,0.194893093375805,-27.4200687754381,-9.18387747352148,3.86937281973551,151.534895954571
1551,6,"1,2,3,4,10,11",0.974810241378597,0.973185095661087,0.162468373563099,-26.7794955800639,-5.93813409215919,3.8171274518151,151.534895954571
1615,7,"1,2,3,4,7,10,11",0.97508783699267,0.973192346329069,0.139298262427524,-25.8876305405055,-2.44109886661263,3.77506202931907,151.534895954571
1871,8,"1,2,3,4,7,9,10,11",0.975249986718145,0.973074161374685,0.121906248339768,-24.5406438145825,1.51105804529845,3.75049068754019,151.534895954571
1999,9,"1,2,3,4,7,8,9,10,11",0.975293936419439,0.972823330061383,0.108365992935493,-22.7183761203043,5.93849592556468,3.74383077412733,151.534895954571
2015,10,"1,2,3,4,5,7,8,9,10,11",0.975328782595967,0.972556735696638,0.0975328782595967,-20.8595186928328,10.4025235390243,3.7385503623927,151.534895954571
2047,11,"1,2,3,4,5,6,7,8,9,10,11",0.975333116699355,0.972249756286774,0.0886666469726686,-18.8770876844924,14.9901247333528,3.73789359448678,151.534895954571
