"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.693608160791264,0.690481713452399,0.693608160791264,345.251421599418,353.066932157383,174.130903542304,568.327485457839
3,2,"1,2",0.948566915440971,0.947506439470682,0.474283457720486,168.793104677771,179.213785421723,29.2308356167733,568.327485457839
7,3,"1,2,3",0.993668186731289,0.993470317566642,0.33122272891043,-38.6763935593594,-25.650542629419,3.598543513395,568.327485457839
15,4,"1,2,3,4",0.993731170221135,0.993467219493604,0.248432792555284,-37.6760887995074,-22.0450676835789,3.56274826498566,568.327485457839
31,5,"1,2,3,4,5",0.993777774377075,0.993446804929047,0.198755554875415,-36.4222927140955,-18.1861014121789,3.53626184222851,568.327485457839
287,6,"1,2,3,4,5,9",0.993825307878498,0.993426940644853,0.165637551313083,-35.189156467632,-14.3477949797273,3.50924724688962,568.327485457839
799,7,"1,2,3,4,5,9,10",0.993872190937629,0.993405944595927,0.141981741562518,-33.9513313357684,-10.5047996618756,3.48260231578321,568.327485457839
863,8,"1,2,3,4,5,7,9,10",0.993902407665405,0.993366355592034,0.124237800958176,-32.4456593062962,-6.39395744641524,3.46542931886757,568.327485457839
991,9,"1,2,3,4,5,7,8,9,10",0.993921196850279,0.993313316535307,0.11043568853892,-30.7542760855644,-2.09740403969538,3.45475090867415,568.327485457839
1023,10,"1,2,3,4,5,6,7,8,9,10",0.993921836108265,0.993238896345148,0.0993921836108265,-28.7647928202731,2.49724941158403,3.45438760079063,568.327485457839
