"p","R2","M_p","AIC","BIC"
1,0.410395775136004,0.410395775136004,2276.00140691661,2280.21601501503
2,0.642120367377924,0.321060183688962,2028.37400773936,2036.80322393621
3,0.789772821131401,0.2632576070438,1764.37002873225,1777.01385302752
4,0.911240479798881,0.22781011994972,1335.24099990678,1352.09943230047
5,0.959723290083047,0.191944658016609,942.162345769814,963.235386261925
6,0.986558691980736,0.164426448663456,395.441980280296,420.729628870829
7,0.999743881536458,0.142820554505208,-1582.78194299334,-1553.27968630439
8,0.999746074984588,0.124968259373073,-1585.08248156091,-1551.36561677353
9,0.999747146358715,0.111083016262079,-1585.19657162582,-1547.26509874002
10,0.999748152172039,0.0999748152172039,-1585.18946191235,-1543.04338092813
