"iteration","seed","p","R2","M_p","AIC","BIC","p_star_sigmoid","p_star_aic","p_star_bic","M_p_fitted"
1,1001,1,0.49477973803989,0.49477973803989,1955.96885355953,1960.18346165795,1,7,6,0.478098731940937
1,1001,2,0.728160919435705,0.364080459717853,1648.07674314379,1656.50595934063,1,7,6,0.383158519061377
1,1001,3,0.870967207361838,0.290322402453946,1277.50489459582,1290.14871889108,1,7,6,0.300780939933539
1,1001,4,0.961403429641963,0.240350857410491,676.053316166415,692.911748560104,1,7,6,0.236286264598114
1,1001,5,0.999613800794026,0.199922760158805,-1624.22937717461,-1603.1563366825,1,7,6,0.189737966881625
1,1001,6,0.999618652999104,0.166603108833184,-1628.55117210254,-1603.263523512,1,7,6,0.158079053428211
1,1001,7,0.999620536469168,0.14280293378131,-1629.0267870324,-1599.52453034344,1,7,6,0.137406990376519
1,1001,8,0.999620705259678,0.12495258815746,-1627.24924327403,-1593.53237848665,1,7,6,0.124265944927883
1,1001,9,0.99962074207047,0.111068971341163,-1625.29777094247,-1587.36629805667,1,7,6,0.116054124763073
1,1001,10,0.999620772250316,0.0999620772250316,-1623.3375605476,-1581.19147956338,1,7,6,0.110977361296865
2,1002,1,0.443249091212022,0.443249091212022,1973.35377569005,1977.56838378848,1,5,5,0.430836328235286
2,1002,2,0.689084557922735,0.344542278961367,1684.0552988593,1692.48451505614,1,5,5,0.357797047908102
2,1002,3,0.850553590192638,0.283517863397546,1319.76373933782,1332.40756363309,1,5,5,0.291609485233745
2,1002,4,0.955260312209007,0.238815078052252,718.725295337858,735.583727731547,1,5,5,0.23639675416442
2,1002,5,0.999631349910603,0.199926269982121,-1678.65886955671,-1657.5858290646,1,5,5,0.193432717117986
2,1002,6,0.999632255426542,0.166605375904424,-1677.8885313688,-1652.60088277827,1,5,5,0.161773941092646
2,1002,7,0.999632815670825,0.142804687952975,-1676.65084237456,-1647.1485856856,1,5,5,0.139370618118734
2,1002,8,0.999633332422291,0.124954166552786,-1675.35500563519,-1641.63814084781,1,5,5,0.12396696513035
2,1002,9,0.999633509661774,0.111070389962419,-1673.59675367164,-1635.66528078584,1,5,5,0.113584580444594
2,1002,10,0.999633585736861,0.0999633585736861,-1671.70055311128,-1629.55447212706,1,5,5,0.106680123072335
3,1003,1,0.482777212970408,0.482777212970408,1944.86403080199,1949.07863890041,1,6,5,0.464369504671188
3,1003,2,0.704240051761007,0.352120025880503,1667.40124842323,1675.83046462008,1,6,5,0.375038271809676
3,1003,3,0.86714914698021,0.28904971566007,1269.24072516888,1281.88454946415,1,6,5,0.297028896907971
3,1003,4,0.957063247123256,0.239265811780814,706.491263404481,723.34969579817,1,6,5,0.235227584734606
3,1003,5,0.999543049518429,0.199908609903686,-1562.96294607703,-1541.88990558492,1,6,5,0.189936716724589
3,1003,6,0.999545517271241,0.166590919545207,-1563.67050469449,-1538.38285610396,1,6,5,0.15860597852688
3,1003,7,0.999546714910467,0.142792387844352,-1562.98982875125,-1533.48757206229,1,6,5,0.137787601926827
3,1003,8,0.999546851716002,0.1249433564645,-1561.14075604502,-1527.42389125764,1,6,5,0.124321945462725
3,1003,9,0.999546989322369,0.111060776591374,-1559.29261280937,-1521.36113992358,1,6,5,0.115763252539701
3,1003,10,0.999546992059348,0.0999546992059348,-1557.29563369561,-1515.14955271138,1,6,5,0.11038376405904
4,1004,1,0.498113188825839,0.498113188825839,1991.7637786849,1995.97838678333,1,5,5,0.370434590554502
4,1004,2,0.745328301934301,0.37266415096715,1654.56409797799,1662.99331417483,1,5,5,0.199842231232293
4,1004,3,0.88596370095437,0.295321233651457,1254.83487462157,1267.47869891684,1,5,5,0.158714326580809
4,1004,4,0.964975282405481,0.24124382060137,666.603484036014,683.461916429703,1,5,5,0.15319964443004
4,1004,5,0.999631246696938,0.199926249339388,-1608.23723753145,-1587.16419703934,1,5,5,0.152531676316562
4,1004,6,0.999631937201641,0.16660532286694,-1607.17438440356,-1581.88673581303,1,5,5,0.1524518036169
4,1004,7,0.999632463381155,0.142804637625879,-1605.88969166316,-1576.3874349742,1,5,5,0.152442267568371
4,1004,8,0.999632962595982,0.124954120324498,-1604.56928948307,-1570.85242469569,1,5,5,0.152441129264556
4,1004,9,0.999633159816854,0.111070351090762,-1602.83802759463,-1564.90655470883,1,5,5,0.152440993389937
4,1004,10,0.99963327402082,0.099963327402082,-1600.99371084795,-1558.84762986373,1,5,5,0.152440977171189
5,1005,1,0.467358993330118,0.467358993330118,2008.42937653918,2012.6439846376,1,6,5,0.455018543689407
5,1005,2,0.716614946512305,0.358307473256152,1694.90883758463,1703.33805378148,1,6,5,0.373014593551941
5,1005,3,0.884643577915747,0.294881192638582,1247.51887356319,1260.16269785846,1,6,5,0.299602202898702
5,1005,4,0.960888852734618,0.240222213183654,708.709305975439,725.567738369128,1,6,5,0.23955407196741
5,1005,5,0.999657526151901,0.19993150523038,-1658.27444540946,-1637.20140491734,1,6,5,0.193960500749566
5,1005,6,0.999660123924933,0.166610020654156,-1660.08156180978,-1634.79391321925,1,6,5,0.16126062795563
5,1005,7,0.999660547744844,0.142808649677835,-1658.70544270432,-1629.20318601536,1,6,5,0.138755194671516
5,1005,8,0.999660910874668,0.124957613859333,-1657.24060514038,-1623.523740353,1,6,5,0.123701967071755
5,1005,9,0.999661038326399,0.111073448702933,-1655.42857296362,-1617.49710007782,1,6,5,0.113824640123899
5,1005,10,0.999661106762343,0.0999661106762343,-1653.52953253849,-1611.38345155426,1,6,5,0.107424878272792
6,1006,1,0.46898737793303,0.46898737793303,1992.16646407415,1996.38107217258,1,5,5,0.456271531897183
6,1006,2,0.718528312131507,0.359264156065754,1676.78950169198,1685.21871788883,1,5,5,0.373036144709737
6,1006,3,0.872667280293779,0.29088909343126,1282.17531884185,1294.81914313712,1,5,5,0.298840409380981
6,1006,4,0.96175397823481,0.240438494558703,682.793342771319,699.651775165008,1,5,5,0.238511898658525
6,1006,5,0.999587701167635,0.199917540233527,-1580.22986722965,-1559.15682673754,1,5,5,0.193020652735872
6,1006,6,0.999589121560595,0.166598186926766,-1579.95536964336,-1554.66772105282,1,5,5,0.160629944548174
6,1006,7,0.99958957297632,0.142798510425189,-1578.50500165144,-1549.00274496249,1,5,5,0.138497497120067
6,1006,8,0.999589613690868,0.124948701711359,-1576.55460433985,-1542.83773955248,1,5,5,0.123796751715912
6,1006,9,0.999589640934038,0.111065515659338,-1574.58779754503,-1536.65632465923,1,5,5,0.114215079888194
6,1006,10,0.999589661561818,0.0999589661561818,-1572.61293199492,-1530.4668510107,1,5,5,0.108046632709847
7,1007,1,0.502406554385012,0.502406554385012,1969.98476248437,1974.19937058279,1,6,5,0.484145413014691
7,1007,2,0.727311037315492,0.363655518657746,1671.25898522717,1679.68820142401,1,6,5,0.386301567203572
7,1007,3,0.880267916251328,0.293422638750443,1261.72138346704,1274.36520776231,1,6,5,0.301893001375171
7,1007,4,0.96217372893857,0.240543432234642,687.595009237507,704.453441631196,1,6,5,0.236316972672377
7,1007,5,0.999636646904823,0.199927329380965,-1633.097023942,-1612.02398344989,1,6,5,0.189397341569299
7,1007,6,0.999638674962932,0.166606445827155,-1633.89559521595,-1608.60794662542,1,6,5,0.157768036240718
7,1007,7,0.99963903141845,0.142805575916921,-1632.38910026416,-1602.88684357521,1,6,5,0.137293493728926
7,1007,8,0.999639293222073,0.124954911652759,-1630.75187229367,-1597.03500750629,1,6,5,0.124385528288948
7,1007,9,0.99963940424154,0.111071044915727,-1628.90578755341,-1590.97431466761,1,6,5,0.116382984674899
7,1007,10,0.999639481072374,0.0999639481072374,-1627.01233209629,-1584.86625111207,1,6,5,0.111473061099911
8,1008,1,0.47254614309672,0.47254614309672,2027.35841025792,2031.57301835634,1,5,5,0.459041991689983
8,1008,2,0.71700573778488,0.35850286889244,1718.04102831806,1726.4702445149,1,5,5,0.375130655361805
8,1008,3,0.886949230275029,0.29564974342501,1261.24622073508,1273.89004503035,1,5,5,0.300340792070096
8,1008,4,0.963568849650354,0.240892212412588,697.03981078293,713.898243176619,1,5,5,0.239520072891925
8,1008,5,0.999643025302802,0.19992860506056,-1613.71747092731,-1592.6444304352,1,5,5,0.193641337379023
8,1008,6,0.999643942902152,0.166607323817025,-1613.00436985972,-1587.71672126918,1,5,5,0.160958569153693
8,1008,7,0.999644151948676,0.142806307421239,-1611.29801365583,-1581.79575696687,1,5,5,0.138613717617118
8,1008,8,0.999644274874836,0.124955534359354,-1609.47076631836,-1575.75390153098,1,5,5,0.123762768914502
8,1008,9,0.999644383007341,0.111071598111927,-1607.62277827382,-1569.69130538802,1,5,5,0.114077103452231
8,1008,10,0.999644408555662,0.0999644408555662,-1605.65870068331,-1563.51261969909,1,5,5,0.10783776885633
9,1009,1,0.484264926618129,0.484264926618129,1949.78671313445,1954.00132123287,1,5,5,0.465508255960063
9,1009,2,0.704325970290073,0.352162985145037,1673.61890641731,1682.04812261416,1,5,5,0.375658728023591
9,1009,3,0.867557882600322,0.289185960866774,1274.0629582394,1286.70678253467,1,5,5,0.297281988001172
9,1009,4,0.959157417996827,0.239789354499207,687.852715009854,704.711147403543,1,5,5,0.235276883428004
9,1009,5,0.999551972240073,0.199910394448015,-1566.45993402544,-1545.38689353332,1,5,5,0.189907415559841
9,1009,6,0.999552445627297,0.166592074271216,-1564.98851454443,-1539.7008659539,1,5,5,0.158571994159375
9,1009,7,0.999552795738019,0.142793256534003,-1563.37980525264,-1533.87754856369,1,5,5,0.137782556314297
9,1009,8,0.999553012075153,0.124944126509394,-1561.62174109273,-1527.90487630535,1,5,5,0.124355370561084
9,1009,9,0.999553087192532,0.111061454132504,-1559.70577433792,-1521.77430145212,1,5,5,0.115833056863794
9,1009,10,0.999553103568415,0.0999553103568415,-1557.72409578968,-1515.57801480546,1,5,5,0.110483593588502
10,1010,1,0.509721921783176,0.509721921783176,1994.43676931294,1998.65137741136,1,5,5,0.489540275019007
10,1010,2,0.725115639871742,0.362557819935871,1707.12565126536,1715.5548674622,1,5,5,0.389041222208583
10,1010,3,0.886221804894013,0.295407268298005,1268.07584905371,1280.71967334898,1,5,5,0.302827077747747
10,1010,4,0.967738338246322,0.24193458456158,639.890192285475,656.748624679164,1,5,5,0.236326937128039
10,1010,5,0.999618251433103,0.199923650286621,-1576.54614349954,-1555.47310300743,1,5,5,0.189117645367242
10,1010,6,0.999619409137269,0.166603234856211,-1576.0647650093,-1550.77711641877,1,5,5,0.157542638454158
10,1010,7,0.999620139195348,0.142802877027907,-1575.02479749364,-1545.52254080469,1,5,5,0.137257669178561
10,1010,8,0.999620693049618,0.124952586631202,-1573.75435214735,-1540.03748735997,1,5,5,0.124560946072953
10,1010,9,0.999620770392775,0.111068974488086,-1571.85631579788,-1533.92484291208,1,5,5,0.116742991769423
10,1010,10,0.999620776510204,0.0999620776510204,-1569.86438146355,-1527.71830047933,1,5,5,0.111977592454599
