"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.513979391546772,0.509019997582963,0.513979391546772,293.390899033936,301.2064095919,"1"
2,0.846026019609673,0.842851298364512,0.423013009804836,180.444159274731,190.864840018683,"1,2"
3,0.980254056339879,0.9796369956005,0.326751352113293,-22.9393950931638,-9.91354416322336,"1,2,3"
4,0.98157999876429,0.980804419764892,0.245394999691072,-27.8904938974457,-12.2594727815172,"1,2,3,9"
5,0.982196822598876,0.98124984507754,0.196439364519775,-29.296508983794,-11.0603176818773,"1,2,3,5,9"
6,0.982291458927319,0.981148972406501,0.163715243154553,-27.8294967216043,-6.9881352336996,"1,2,3,5,7,9"
7,0.982346291702467,0.981003074766785,0.140335184528924,-26.1396173732607,-2.69308569936791,"1,2,3,5,7,9,10"
8,0.982348055081643,0.980796235748161,0.122793506885205,-24.1496065903825,1.90209526949843,"1,2,3,4,5,7,9,10"
9,0.98234885260638,0.980583737867018,0.10914987251182,-22.1541247483375,6.50274729753154,"1,2,3,4,5,7,8,9,10"
10,0.982348925667427,0.980365658888487,0.0982348925667428,-20.1545386658979,11.1075035659592,"1,2,3,4,5,6,7,8,9,10"
