"rule","p_star","F1","precision","recall"
"M_p",1,0.4,1,0.25
"M_p_minus",2,0.4,1,0.25
"M_p_sqrt",1,0.4,1,0.25
"M_p_scaled",1,0.4,1,0.25
"AIC",5,0.4,1,0.25
"BIC",3,0.4,1,0.25
