"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
2,9,0.992886940792612,0.110320771199179,-1625.23969486032,-1587.30822197452,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8","1,2,3,4,5,6,7,8,9","1,4,8,16","1,4,8,16","1,4,16"
2,10,0.992895210004484,0.0992895210004484,-1623.8213027172,-1581.67522173297,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9","1,2,3,4,5,6,7,8,9,10","1,4,8,16","1,4,8,16","1,4,16"
2,11,0.99290386421022,0.0902639876554745,-1622.43071416952,-1576.07002508687,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10,12","1,4,8,16","1,4,8,16","1,4,16"
2,12,0.992910482174422,0.0827425401812018,-1620.89723935485,-1570.32194217378,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10,12,13","1,4,8,16","1,4,8,16","1,4,16"
2,13,0.992916555738461,0.0763781965952662,-1619.32577111653,-1564.53586583705,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7,8,9,10,12,13,14","1,4,8,16","1,4,8,16","1,4,16"
2,14,0.992920921826324,0.0709229229875945,-1617.63405574738,-1558.62954236947,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13","1,2,3,4,5,6,7,8,9,10,12,13,14,15","1,4,8,16","1,4,8,16","1,4,16"
2,15,0.992924899980356,0.0661949933320237,-1615.91511439186,-1552.69599291553,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16","1,4,8,16","1,4,8,16","1,4,16"
2,16,0.992928517812923,0.0620580323633077,-1614.17085338187,-1546.73712380712,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17","1,4,8,16","1,4,8,16","1,4,16"
2,17,0.992931381136033,0.0584077283021196,-1612.37335003584,-1540.72501236266,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14,15,17","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18","1,4,8,16","1,4,8,16","1,4,16"
2,18,0.992932765520914,0.0551629314178285,-1610.47128433466,-1534.60833856306,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19","1,4,8,16","1,4,8,16","1,4,16"
