"metric","MAE","Bias","Variance","HitRate","n_correct","n_underfit","n_overfit"
"M_p",1,-1,0,0,0,5,0
"M_p_sqrt",1,-1,0,0,0,5,0
"AIC",2.8,2.8,3.2,0,0,0,5
"BIC",0.4,0.4,0.3,0.6,3,0,2
