"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.105638954331049,0.179651780076587,0.00804948251465443,0.466404229080552,0.105638954331049,0.466404229080552,0.0965128212119783,0.460959374275251,338.890848189916,346.70635874788
2,45,0.104970221104313,0.113464734320791,0.076671527028311,0.415559323412526,0.209940442208626,0.831118646825052,0.193650554419113,0.827636557068867,225.846632904218,236.26731364817
3,120,0.104274288568325,0.0849633561394144,0.134193968091649,0.329991380647545,0.312822865704974,0.989974141942635,0.291348580258255,0.989660833878342,-54.5562525820606,-41.5304016521202
4,210,0.10355711996033,0.067138257030604,0.110885242399201,0.247635763507192,0.414228479841318,0.99054305402877,0.389564415834637,0.990144866829981,-58.3980592188744,-42.7670381029458
5,252,0.102824576974988,0.0541039261382297,0.103239620137999,0.198145710110394,0.514122884874938,0.990728550551969,0.488278357474669,0.990235388347286,-58.3790360741678,-40.1428447722511
6,210,0.102082305906344,0.0436391196682333,0.100196790431428,0.16515493535814,0.612493835438064,0.99092961214884,0.587493437724391,0.990344425835862,-58.5715061914668,-37.7301447035621
7,120,0.101335668427551,0.03461784664898,0.0911415734690276,0.141576684300395,0.709349678992855,0.991036790102764,0.687234980655354,0.990354806741018,-57.7601676816658,-34.313636007773
8,45,0.100589698830504,0.026302413216204,0.104864781035152,0.12389649818585,0.804717590644034,0.991171985486799,0.787549906305048,0.990395896298825,-57.2799954717921,-31.2282936119112
9,10,0.0998490782731329,0.0180586492093172,0.110108229317919,0.110131159799774,0.898641704458196,0.991180438197964,0.888505874904015,0.99029848201776,-55.3757900631949,-26.7189180173259
10,1,0.0991181207718603,NA,0.0991181207718603,0.0991181207718603,0.991181207718603,0.991181207718603,0.990190332181367,0.990190332181367,-53.3845156011416,-22.1224733692845
