"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.10792628520804,0.191503090003054,0.0160872653491779,0.581090048429981,0.10792628520804,0.581090048429981,0.0988234921999588,0.57681545708743,267.306993917047,275.122504475011
2,45,0.107143952735946,0.120832549968189,0.0584953525059642,0.443255513886646,0.214287905471892,0.886511027773292,0.198087656100178,0.884171048964494,138.711962626895,149.132643370848
3,120,0.106283619422914,0.0902964156061215,0.10370706016056,0.326774818274617,0.318850858268742,0.980324454823851,0.29756494758964,0.979709594037097,-34.5209541934338,-21.4951032634934
4,210,0.105344673046324,0.0711269015567846,0.097141062008421,0.245144126093471,0.421378692185296,0.980576504373882,0.397015689750993,0.979758672979098,-33.8102596924133,-18.1792385764848
5,252,0.104327255282618,0.0570690903543746,0.105887504000526,0.196148844086085,0.52163627641309,0.980744220430425,0.496191397498893,0.979719976836299,-32.6774791881807,-14.4412878862641
6,210,0.103232228397608,0.0457734804977678,0.106942872748218,0.163480874799178,0.619393370385649,0.980885248795071,0.594838103958917,0.979652039039914,-31.4125693568425,-10.5712078689377
7,120,0.102061033730352,0.0360605483542307,0.0982142968756779,0.140146753428596,0.714427236112463,0.981027274000169,0.692698873642759,0.979583697021921,-30.158357073995,-6.71182540010218
8,45,0.100815482867706,0.0271716127499451,0.112127571289203,0.122631941696168,0.806523862941649,0.981055533569344,0.789514971771684,0.979390085971044,-28.3074164984717,-2.2557146385908
9,10,0.0994975160467715,0.0184731313390887,0.108994940675723,0.109008829108439,0.895477644420944,0.981079461975947,0.885025408863038,0.979187408173542,-26.4338044925215,2.22306755334746
10,1,0.0981089574038091,NA,0.0981089574038091,0.0981089574038091,0.981089574038091,0.981089574038091,0.978964807076079,0.978964807076079,-24.4872636768487,6.7747785550084
