"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.0946637220012565,0.0520511014726512,0.0806342128487748,0.167827889127137,0.0946637220012565,0.167827889127137,0.085425596715555,0.159336336975373,256.330567755305,264.14607831327
2,45,0.0954430090642267,0.0314649240825025,0.0968305972656852,0.16525984392229,0.190886018128453,0.33051968784458,0.174203255615638,0.316715970068179,236.576815200619,246.997495944572
3,120,0.0961758511514543,0.0222604933040611,0.0939600537964615,0.148750753854869,0.288527553454363,0.446252261564607,0.266294039499812,0.428947644738501,219.59756313568,232.62341406562
4,210,0.0968639720445445,0.0163503040824546,0.095546328029315,0.13478481710364,0.387455888178178,0.539139268414561,0.361664557154101,0.519734606032016,203.236229076807,218.867250192736
5,252,0.0975083614080274,0.0119854460321659,0.097843329448799,0.123245776881002,0.487541807040137,0.616228884405012,0.460283392520995,0.595815527192513,186.931271583476,205.167462885392
6,210,0.0981088965126323,0.00852627774761752,0.0981975827527305,0.116643203360183,0.588653379075794,0.699859220161095,0.562114887403265,0.680495298881166,164.351802481034,185.193163968939
7,120,0.0986638456463475,0.00567495745064943,0.0994106777657291,0.110800124562153,0.690646919524433,0.775600871935068,0.667109185140422,0.758527025234475,137.269268210772,160.715799884665
8,45,0.0991692554771384,0.00326982874804541,0.0995980029138961,0.105261588002718,0.793354043817107,0.842092704021742,0.775187366350479,0.828210743935741,104.127452061158,130.179153921039
9,10,0.0996182178289163,0.0011693183953598,0.0997450557314335,0.101418637556133,0.896563960460247,0.912767738005199,0.886220356506271,0.904044511805719,46.784063359029,75.440935404898
10,1,0.1,NA,0.1,0.1,1,1,1,1,-6795.35474900999,-6764.09270677813
