"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",2,10,-8,2,0,8,1,0.2,0.333333333333333,8,FALSE,"4,6"
"AIC",10,10,0,10,0,0,1,1,1,0,TRUE,"1,2,3,4,5,6,7,8,9,10"
"BIC",10,10,0,10,0,0,1,1,1,0,TRUE,"1,2,3,4,5,6,7,8,9,10"
