"p","R2","M_p","AIC","BIC"
1,0.538506959935313,0.538506959935313,1308.29136078894,1312.50596888736
2,0.854225753531912,0.427112876765956,734.087458408263,742.516674605107
3,0.998554668166534,0.332851556055511,-1570.77265669873,-1558.12883240346
4,0.998561209191534,0.249640302297884,-1571.04060332469,-1554.182170931
5,0.998562901314712,0.199712580262942,-1569.62898593701,-1548.5559454449
6,0.998563863629952,0.166427310604992,-1567.96390990171,-1542.67626131118
7,0.998564469380164,0.142652067054309,-1566.17485017514,-1536.67259348619
8,0.998564729992013,0.124820591249002,-1564.26563037357,-1530.54876558619
9,0.998564766772535,0.110951640752504,-1562.27844363959,-1524.34697075379
10,0.998564770395059,0.0998564770395059,-1560.2797056397,-1518.13362465548
