"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.130814770896537,0.226120871465564,0.0261061820287523,0.672769901397673,0.130814770896537,0.672769901397673,0.121945533864869,0.669430818758874,367.030504577478,374.846015135442
2,45,0.126692457332282,0.137547707164398,0.056013623466602,0.450675758657103,0.253384914664564,0.901351517314206,0.23799078919373,0.899317527980478,249.120430845116,259.541111589068
3,120,0.122758140803429,0.0991167170658523,0.136574725258958,0.331591185211351,0.368274422410288,0.994773555634054,0.348532998110609,0.994610229247618,-42.6627349792553,-29.6368840493148
4,210,0.119000912520031,0.0752810671638314,0.120384214581162,0.248696025049889,0.476003650080125,0.994784100199555,0.453940645872972,0.994564483365852,-40.8646928714161,-25.2336717554876
5,252,0.115408851861689,0.0582138336294045,0.123029753024346,0.198958438125129,0.577044259308444,0.994792190625646,0.554546613526978,0.994515179488712,-39.0199241346781,-20.7837328327614
6,210,0.111969403183556,0.0449570960766221,0.123462109587478,0.165799975952348,0.671816419101339,0.994799855714089,0.650643284849812,0.994464362534352,-37.167217062348,-16.3258555744433
7,120,0.108669690758605,0.0340485967350464,0.112931323171209,0.142114997931054,0.760687835310235,0.99480498551738,0.742479301040361,0.994409712676311,-35.2659130769495,-11.8193814030567
8,45,0.105496779648096,0.0246071739806702,0.113165021928037,0.124350667829274,0.843974237184765,0.994805342634194,0.830257686607601,0.994348669459178,-33.2727875349412,-7.22108567506029
9,10,0.102437889377092,0.0159936120195691,0.110533081086149,0.110533957587344,0.921941004393825,0.994805618286096,0.914135104833207,0.994286180114705,-31.2780941258667,-2.62122207999765
10,1,0.0994805640964111,NA,0.0994805640964111,0.0994805640964111,0.994805640964111,0.994805640964111,0.994222005117382,0.994222005117382,-29.2785307141943,1.98351151766278
