"p","R2","M_p","AIC","BIC"
1,0.302357389595043,0.302357389595043,2461.08964422951,2465.30425232794
2,0.518439138366223,0.259219569183112,2277.75247981052,2286.18169600737
3,0.662060369836058,0.220686789945353,2102.66980342432,2115.31362771959
4,0.777770843775267,0.194442710943817,1895.09071051544,1911.94914290913
5,0.843519135201636,0.168703827040327,1721.70303457309,1742.7760750652
6,0.894409291404368,0.149068215234061,1527.02135845892,1552.30900704945
7,0.940722263071946,0.134388894724564,1240.35307029107,1269.85532698003
8,0.969067360484519,0.121133420060565,917.142128858292,950.85899364567
9,0.98760937118262,0.109734374575847,461.706391330924,499.637864216723
10,0.999790705901993,0.0999790705901993,-1576.77125617475,-1534.62517519053
