"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.0618211265496509,0.107417692019605,0.0151278021780496,0.314309865911468,0.0618211265496509,0.314309865911468,0.052247872738933,0.307313027808524,343.972067444803,351.787578002767
2,45,0.0616926181032253,0.0694310747523311,0.0169361394583212,0.272176567071267,0.123385236206451,0.544353134142535,0.105310704994212,0.534958353403206,305.101294086794,315.521974830746
3,120,0.0615919332794053,0.0532371892092131,0.0713257379341138,0.194321275426943,0.184775799838216,0.582963826280829,0.15930004358316,0.569931445852105,298.246781391297,311.272632321237
4,210,0.0615196787609488,0.0430967127912771,0.0592514745037578,0.14972641396885,0.246078715043795,0.598905655875402,0.214334660940376,0.582017472964892,296.349152011412,311.98017312734
5,252,0.0614759127190824,0.0355908250630739,0.0592678057507831,0.121109746435148,0.307379563595412,0.605548732175742,0.2705380510207,0.584567281759558,296.679045204154,314.91523650607
6,210,0.061460168027683,0.0294236712544575,0.0602644907517664,0.101679918554422,0.368761008166098,0.610079511326529,0.328035911918749,0.584923350766951,297.523769149062,318.365130636967
7,120,0.0614714540420365,0.0239237595679557,0.0565639873667056,0.0876374152631453,0.430300178294255,0.613461906842017,0.386953452729688,0.58405139975391,298.652527078969,322.099058752862
8,45,0.0615082326214651,0.0186268919594021,0.0716287945615172,0.0768700674157807,0.492065860971721,0.614960539326245,0.447412310287916,0.581110916409871,300.264067264054,326.315769123935
9,10,0.0615683618466345,0.0130994296096831,0.0678726877238208,0.0684508681110976,0.55411525661971,0.616057812999878,0.509526782281681,0.577663594299866,301.978683491458,330.635555537327
10,1,0.0616489978150278,NA,0.0616489978150278,0.0616489978150278,0.616489978150278,0.616489978150278,0.573398964459298,0.573398964459298,303.866060140819,335.128102372676
