"metric","MAE","Bias","Variance","HitRate","n_correct","n_underfit","n_overfit","Jaccard","Precision","Recall","F1","avg_TP","avg_FP","avg_FN","SubsetHitRate","p1_R2","p2_R2","p3_R2","p4_R2","p5_R2","p6_R2","p7_R2","p8_R2","p9_R2","p10_R2","p11_R2","p12_R2","p13_R2","p14_R2","p15_R2","p16_R2","p17_R2","p18_R2","p19_R2","p20_R2","p1_value","p2_value","p3_value","p4_value","p5_value","p6_value","p7_value","p8_value","p9_value","p10_value","p11_value","p12_value","p13_value","p14_value","p15_value","p16_value","p17_value","p18_value","p19_value","p20_value"
"M_p",7.92,6.8,72.8484848484849,0,0,54,46,0.425964912280702,0.612631578947368,0.813333333333333,0.551454545454546,2.44,7.36,0.56,0,0.439482205999594,0.838321208192303,0.988812561139305,0.988856504646986,0.98890658025364,0.988951055950048,0.988963899953039,0.988975000664966,0.988984067611571,0.988991876222613,0.989005715751548,0.989009632193705,0.989013988406515,0.98901799793684,0.989021876577666,0.98902573651592,0.989027009379313,0.989027901224886,0.98902850214101,0.98902900666832,0.439482205999594,0.419160604096151,0.329604187046435,0.247214126161747,0.197781316050728,0.164825175991675,0.141280557136148,0.123621875083121,0.109887118623508,0.0988991876222613,0.089909610522868,0.0824174693494755,0.0760779991081935,0.0706441427097743,0.0659347917718444,0.061814108532245,0.0581780593752537,0.0549459945124937,0.0520541316916321,0.049451450333416
"AIC",2.44,2.44,1.64282828282828,0.05,5,0,95,0.584690476190476,0.584690476190476,1,0.727508658008658,3,2.44,0,0.05,0.439482205999594,0.838321208192303,0.988812561139305,0.988856504646986,0.98890658025364,0.988951055950048,0.988963899953039,0.988975000664966,0.988984067611571,0.988991876222613,0.989005715751548,0.989009632193705,0.989013988406515,0.98901799793684,0.989021876577666,0.98902573651592,0.989027009379313,0.989027901224886,0.98902850214101,0.98902900666832,361.376393799826,-258.248300367421,-1591.65829122198,-1591.62612489977,-1591.87804208688,-1591.88666937849,-1590.46823962042,-1588.97142002279,-1587.38278861786,-1585.73733781217,-1584.36633854446,-1582.54448292394,-1580.74270542401,-1578.92522217004,-1577.10184415102,-1575.27767643345,-1573.33567290935,-1571.37631277906,-1569.40369735661,-1567.42669052113
"BIC",0.3,0.3,0.292929292929293,0.74,74,0,26,0.929,0.929,1,0.958571428571429,3,0.3,0,0.74,0.439482205999594,0.838321208192303,0.988812561139305,0.988856504646986,0.98890658025364,0.988951055950048,0.988963899953039,0.988975000664966,0.988984067611571,0.988991876222613,0.989005715751548,0.989009632193705,0.989013988406515,0.98901799793684,0.989021876577666,0.98902573651592,0.989027009379313,0.989027901224886,0.98902850214101,0.98902900666832,365.591001898248,-249.819084170577,-1579.01446692671,-1574.76769250609,-1570.80500159477,-1566.59902078795,-1560.96598293146,-1555.25455523541,-1549.45131573206,-1543.59125682795,-1538.00564946182,-1531.96918574288,-1525.95280014453,-1519.92070879213,-1513.88272267468,-1507.8439468587,-1501.68733523618,-1495.51336700746,-1489.32614348659,-1483.13452855268
