"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",2,4,-2,2,0,2,1,0.5,0.666666666666667,2,FALSE,"1,2"
"AIC",5,4,1,4,1,0,0.8,1,0.888888888888889,1,FALSE,"1,2,3,4,11"
"BIC",3,4,-1,3,0,1,1,0.75,0.857142857142857,1,FALSE,"1,2,3"
