"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.971432239794074,0.971140732036871,0.971432239794074,109.387505817509,117.203016375474,"2"
2,0.990342615957967,0.990143494637513,0.495171307978984,2.93190501665018,13.3525857606025,"1,2"
3,0.992870937233357,0.992648154021899,0.330956979077786,-25.4223981774662,-12.3965472475257,"1,2,3"
4,0.993059831269286,0.992767613638519,0.248264957817321,-26.1077671275757,-10.4767460116471,"1,2,3,9"
5,0.993128928799956,0.992763446289315,0.198625785759991,-25.108373988759,-6.8721826868424,"1,2,3,4,9"
6,0.993220195855302,0.992782789136289,0.165536699309217,-24.4455543959521,-3.60419290804741,"1,2,3,6,8,9"
7,0.993289593147727,0.992779018713315,0.141898513306818,-23.4744175414795,-0.0278858675866545,"1,2,3,4,6,8,9"
8,0.993334016654958,0.992747996141108,0.12416675208187,-22.1386276893065,3.91307417057442,"1,2,3,4,5,6,8,9"
9,0.993407270617972,0.992747997679769,0.110378585624219,-21.2436325250173,7.41323952085169,"1,2,3,4,5,6,7,8,9"
10,0.993407351027875,0.992666603952356,0.0993407351027875,-19.2448522079312,12.0171900239259,"1,2,3,4,5,6,7,8,9,10"
