"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.81548801695774,0.813605241620574,0.81548801695774,276.296875072857,284.112385630821,"1"
2,0.937894403442301,0.936613875678225,0.46894720172115,169.409044719932,179.829725463885,"1,2"
3,0.978532757659392,0.977861906336248,0.326177585886464,65.1782501810239,78.2041011109644,"1,2,3"
4,0.986169629380906,0.985587297986418,0.246542407345227,23.2121284135259,38.8431495294545,"1,2,3,5"
5,0.991029310573084,0.990552146241865,0.198205862114617,-18.0783127076319,0.157878594284789,"1,2,3,4,5"
6,0.991110210351957,0.990536675535954,0.165185035058659,-16.9842271773012,3.85713431060357,"1,2,3,4,5,6"
7,0.991380547252167,0.990724719325701,0.141625792464595,-18.0724063051494,5.3741253687434,"1,2,3,4,5,6,9"
8,0.991463527713026,0.990713068610874,0.123932940964128,-17.0397818073093,9.01192005257167,"1,2,3,4,5,6,8,9"
9,0.99148684605044,0.990635530655484,0.110165205116716,-15.3133168588069,13.3435551870621,"1,2,3,4,5,6,8,9,10"
10,0.991520686549628,0.990567954701272,0.0991520686549628,-13.7116173896274,17.5504248422297,"1,2,3,4,5,6,7,8,9,10"
