"metric","MAE","Bias","Variance","HitRate","n_correct","n_underfit","n_overfit","Jaccard","Precision","Recall","F1","avg_TP","avg_FP","avg_FN","SubsetHitRate","p1_R2","p2_R2","p3_R2","p4_R2","p5_R2","p6_R2","p7_R2","p8_R2","p9_R2","p10_R2","p11_R2","p12_R2","p13_R2","p14_R2","p15_R2","p16_R2","p17_R2","p18_R2","p19_R2","p20_R2","p1_value","p2_value","p3_value","p4_value","p5_value","p6_value","p7_value","p8_value","p9_value","p10_value","p11_value","p12_value","p13_value","p14_value","p15_value","p16_value","p17_value","p18_value","p19_value","p20_value"
"M_p",17.92,-17.92,2.88242424242425,0,0,100,0,0.104,1,0.104,0.179492638601334,2.08,0,17.92,0,0.164692322922138,0.262404022454194,0.349585344783976,0.427108332116797,0.49547710866946,0.561469732291244,0.623455234848444,0.690216120653846,0.739332043166737,0.787815324037207,0.827065554197671,0.863678930097025,0.886304030604003,0.908341192888897,0.926957248498393,0.942327305712857,0.956729255185373,0.969979823552314,0.983900945153239,0.9979398457218,0.164692322922138,0.131202011227097,0.116528448261325,0.106777083029199,0.0990954217338919,0.0935782887152073,0.0890650335497778,0.0862770150817308,0.0821480047963042,0.0787815324037207,0.0751877776543337,0.0719732441747521,0.0681772331233848,0.0648815137777783,0.0617971498998929,0.0588954566070536,0.0562781914814925,0.0538877679751285,0.0517842602712231,0.04989699228609
"AIC",0,0,0,1,100,0,0,1,1,1,1,20,0,0,1,0.164692322922138,0.262404022454194,0.349585344783976,0.427108332116797,0.49547710866946,0.561469732291244,0.623455234848444,0.690216120653846,0.739332043166737,0.787815324037207,0.827065554197671,0.863678930097025,0.886304030604003,0.908341192888897,0.926957248498393,0.942327305712857,0.956729255185373,0.969979823552314,0.983900945153239,0.9979398457218,1379.78976186018,1319.58780499469,1258.69474089865,1197.23801437607,1135.69630212716,1067.60411309463,993.408164757309,897.827141072934,813.513396275382,712.618199851446,612.345993943337,495.396151357229,406.653670931104,300.926227956985,189.412148967934,73.2816083877261,-68.3719207630868,-249.175452471637,-558.730021852669,-1584.7198682376
"BIC",0,0,0,1,100,0,0,1,1,1,1,20,0,0,1,0.164692322922138,0.262404022454194,0.349585344783976,0.427108332116797,0.49547710866946,0.561469732291244,0.623455234848444,0.690216120653846,0.739332043166737,0.787815324037207,0.827065554197671,0.863678930097025,0.886304030604003,0.908341192888897,0.926957248498393,0.942327305712857,0.956729255185373,0.969979823552314,0.983900945153239,0.9979398457218,1384.0043699586,1328.01702119153,1271.33856519392,1214.09644676976,1156.76934261927,1092.89176168516,1022.91042144626,931.544005860312,851.444869161182,754.764280835668,658.706683025981,545.971448538295,461.443576210592,359.930741334896,252.631270444267,140.715337962481,3.2764169100904,-173.312506700037,-478.652467982647,-1500.42770626916
