"p","R2","M_p","AIC","BIC"
1,0.351006283185019,0.351006283185019,1448.99500837011,1453.20961646854
2,0.67254549664351,0.336272748321755,1108.95805289593,1117.38726909277
3,0.998477193705853,0.332825731235284,-1574.4390698972,-1561.79524560193
4,0.998485447967175,0.249621361991794,-1575.15665562553,-1558.29822323184
5,0.998488180086381,0.199697636017276,-1574.05942633472,-1552.98638584261
6,0.998489320921801,0.1664148868203,-1572.43687409489,-1547.14922550436
7,0.998489793659452,0.142641399094207,-1570.59336386158,-1541.09110717262
8,0.998490148678107,0.124811268584763,-1568.71091746387,-1534.9940526765
9,0.998490255210342,0.110943361690038,-1566.74619775671,-1528.81472487091
10,0.998490299392017,0.0998490299392017,-1564.76083013741,-1522.61474915319
