"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.111406660136738,0.184591464944523,0.00803239789663496,0.448264116399712,0.111406660136738,0.448264116399712,0.102339381158542,0.442634158403791,301.944061941628,309.759572499592
2,45,0.110465192727325,0.116879427638919,0.093167594155548,0.440284911822272,0.220930385454651,0.880569823644544,0.204867094433097,0.878107345781545,150.910306170402,161.330986914355
3,120,0.109452537668848,0.0875513591590456,0.147224002208308,0.333333333333333,0.328357613006545,1,0.307368788413,1,-6759.07842864034,-6746.0525777104
4,210,0.108364447773959,0.0690430824773766,0.113977117078202,0.25,0.433457791095835,1,0.40960338229987,1,-6776.81075966062,-6761.17973854469
5,252,0.107196470730978,0.0553808988875638,0.0995823426855727,0.2,0.535982353654889,1,0.511300563955681,1,-6774.49361006108,-6756.25741875917
6,210,0.105944026968476,0.0443340228112918,0.103682180405838,0.166666666666667,0.635664161810857,1,0.61215862386317,1,-6768.43385374769,-6747.59249225978
7,120,0.104602508004231,0.034794857739478,0.101699464904214,0.142857142857143,0.732217556029617,1,0.711842804857958,1,-6760.99878675835,-6737.55225508446
8,45,0.103167406320813,0.0260645930339124,0.110283085786636,0.125,0.825339250566502,1,0.809984459407513,1,-6739.7071367762,-6713.65543491632
9,10,0.101634485703566,0.0175758472569341,0.111111111111111,0.111111111111111,0.914710371332095,1,0.906181408465304,1,-6730.1048893965,-6701.44801735063
10,1,0.1,NA,0.1,0.1,1,1,1,1,-6718.50705473891,-6687.24501250705
