"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",1,4,-3,1,0,3,1,0.25,0.4,3,FALSE,"1"
"AIC",6,4,2,4,2,0,0.666666666666667,1,0.8,2,FALSE,"1,2,3,4,6,11"
"BIC",5,4,1,3,2,1,0.6,0.75,0.666666666666667,3,FALSE,"1,2,3,4,6"
