"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.595794556564841,0.591670011223666,0.595794556564841,265.588921640675,273.40443219864,"1"
2,0.862312186093596,0.859473262095526,0.431156093046798,159.895484875218,170.31616561917,"1,2"
3,0.978620400595491,0.977952288114101,0.326206800198497,-24.359688715984,-11.3338377860436,"1,2,3"
4,0.978860912942972,0.977970846119518,0.244715228235743,-23.4910261716055,-7.8600050556769,"1,2,3,10"
5,0.979073895788499,0.977960805138951,0.1958147791577,-22.5036670707098,-4.26747576879314,"1,2,3,8,10"
6,0.979216104049909,0.977875207537,0.163202684008318,-21.1855601989267,-0.344198711021974,"1,2,3,5,8,10"
7,0.979244430646421,0.977665202543431,0.139892061520917,-19.3219442409257,4.12458743296717,"1,2,3,5,8,9,10"
8,0.979264085224627,0.977441147661957,0.122408010653078,-17.4166845477107,8.63501731217025,"1,2,3,4,5,8,9,10"
9,0.979281885476387,0.977210074024026,0.108809098386265,-15.5025640298983,13.1543080159708,"1,2,3,4,5,8,9,10,11"
10,0.979298296630408,0.976972262543937,0.0979298296630408,-13.5818070382648,17.6802351935923,"1,2,3,4,5,7,8,9,10,11"
11,0.979313983939597,0.976728231932046,0.0890285439945088,-11.6576136309277,22.2095987869175,"1,2,3,4,5,6,7,8,9,10,11"
