"p","R2","M_p","AIC","BIC"
1,0.12824185221579,0.12824185221579,2178.40707356947,2182.6216816679
2,0.253577542795907,0.126788771397953,2102.79692579833,2111.22614199517
3,0.357258822417048,0.119086274139016,2030.02211758115,2042.66594187641
4,0.464275274298331,0.116068818574583,1940.96128642686,1957.81971882055
5,0.554541768883162,0.110908353776632,1850.70280017995,1871.77584067206
6,0.646917191475311,0.107819531912552,1736.50236481816,1761.7900134087
7,0.733769104922914,0.104824157846131,1597.33303701404,1626.835293703
8,0.818240202984228,0.102280025373028,1408.49406695978,1442.21093174716
9,0.908616167183163,0.10095735190924,1066.68534706515,1104.61681995095
10,0.999564491057058,0.0999564491057058,-1604.46891642904,-1562.32283544482
