"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.0898734165369484,0.154444614880862,0.00862851044103413,0.408439123346686,0.0898734165369484,0.408439123346686,0.0805864105832438,0.402402787870632,287.581937306401,295.397447864365
2,45,0.090910392734096,0.10214922555913,0.0529466527481184,0.409288014074673,0.181820785468192,0.818576028149346,0.164951110941763,0.814835327698817,171.389145390349,181.809826134301
3,120,0.0919185182988255,0.0798987898903019,0.114867548557304,0.327138292229502,0.275755554896476,0.981414876688506,0.253122915986991,0.980834091585022,-54.4583785439984,-41.4325276140579
4,210,0.0929004558754856,0.0658008372704202,0.0974550833699792,0.24546451171705,0.371601823501942,0.981858046868199,0.345142952912551,0.981094175157386,-54.8718115387371,-39.2407904228086
5,252,0.0938574821191467,0.055148742299882,0.0852071876118796,0.196388827649965,0.469287410595734,0.981944138249826,0.441058017542315,0.980983720071626,-53.3474841407264,-35.1112928388098
6,210,0.0947894283423126,0.0461701396321588,0.0881100824746651,0.163666177270545,0.568736570053876,0.981997063623267,0.540913122960577,0.980835583857026,-51.6410347535912,-30.7996732656865
7,120,0.0956945700612858,0.0379410093054178,0.0870620486314577,0.140288463478002,0.669861990429001,0.982019244346014,0.644742794048599,0.980651143372341,-49.7643168533673,-26.3177851794744
8,45,0.0965694643586828,0.0298031237200451,0.102668600057246,0.122754026283809,0.772555714869462,0.982032210270472,0.752560612879964,0.980452624360183,-47.8364528737894,-21.7847510139085
9,10,0.0974087300927558,0.0211110377122125,0.109109278750447,0.10911576965206,0.876678570834802,0.982041926868539,0.864346427918283,0.980246119555393,-45.8905453716765,-17.2336733258075
10,1,0.0982047637684541,NA,0.0982047637684541,0.0982047637684541,0.982047637684541,0.982047637684541,0.980030518323253,0.980030518323253,-43.9223512575069,-12.6603090256498
