"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.530480466757496,0.525689451112164,0.530480466757496,271.674935936933,279.490446494898,83.4328802230199,177.698422144084
2,1,"2",0.384420490880651,0.378139067318209,0.384420490880651,298.760357261586,306.57586781955,109.387507474738,177.698422144084
3,2,"1,2",0.848765373661616,0.845647133943299,0.424382686830808,160.387190493717,170.80787123767,26.874154473881,177.698422144084
4,1,"3",0.0615904960974215,0.052014888914742,0.0615904960974215,340.922588229747,348.738098787711,166.753888168501,177.698422144084
5,2,"1,3",0.622989480727795,0.615216067959296,0.311494740363898,251.73125468736,262.151935431313,66.9941744063926,177.698422144084
6,2,"2,3",0.471235817893115,0.460333463622869,0.235617908946557,285.558200918841,295.978881662794,93.9605608467007,177.698422144084
7,3,"1,2,3",0.966660720773416,0.965618868297585,0.322220240257805,11.177571544633,24.2034224745734,5.92433731398506,177.698422144084
8,1,"4",0.00244561045950364,-0.00773351596437899,0.00244561045950364,347.034613036874,354.850123594839,177.263841024251,177.698422144084
9,2,"1,4",0.53413269560185,0.52452718417096,0.267066347800925,272.894029630104,283.314710374057,82.783884920069,177.698422144084
10,2,"2,4",0.386010576710024,0.373351000972087,0.193005288355012,300.501715932275,310.922396676228,109.104951731785,177.698422144084
11,3,"1,2,4",0.851368300833572,0.846723560234621,0.283789433611191,160.651088552172,173.676939482112,26.4116184224685,177.698422144084
12,2,"3,4",0.0624320838449508,0.0431007866046405,0.0312160419224754,342.832865635542,353.253546379495,166.604339353669,177.698422144084
13,3,"1,3,4",0.624260385282031,0.612518522322095,0.20808679509401,253.393584667939,266.41943559788,66.7683366724092,177.698422144084
14,3,"2,3,4",0.471464879043223,0.454948156513324,0.157154959681074,287.514871437203,300.540722367143,93.9198570417519,177.698422144084
15,4,"1,2,3,4",0.967167987726756,0.965785587209988,0.241791996931689,11.6443480603874,27.2753691763159,5.83419677677068,177.698422144084
16,1,"5",0.0205315521994072,0.010536976201442,0.0205315521994072,345.204948154501,353.020458712465,174.049997714081,177.698422144084
17,2,"1,5",0.55779040503925,0.548672681431811,0.278895202519625,267.68234236618,278.103023110133,78.5799472814999,177.698422144084
18,2,"2,5",0.384875780362277,0.372192806761499,0.192437890181139,300.686368779751,311.107049523703,109.306603252234,177.698422144084
19,3,"1,2,5",0.851600210488722,0.846962717066495,0.283866736829574,160.494936958073,173.520787888013,26.3704084426683,177.698422144084
20,2,"3,5",0.0784043771252058,0.0594024055195399,0.0392021885626029,341.11459976816,351.535280512113,163.766088039745,177.698422144084
21,3,"1,3,5",0.64524131377261,0.634155104828004,0.215080437924203,247.647725846593,260.673576776533,63.0400587845155,177.698422144084
22,3,"2,3,5",0.471235847664264,0.454711967903772,0.157078615888088,287.558195288515,300.584046218455,93.9605555564144,177.698422144084
23,4,"1,2,3,5",0.967542329940644,0.966175691201303,0.241885582485161,10.4976237921769,26.1286449081055,5.76767675602084,177.698422144084
24,2,"4,5",0.0214412145485088,0.00126474474538518,0.0107206072742544,347.112031937699,357.532712681651,173.888352149961,177.698422144084
25,3,"1,4,5",0.559255467165475,0.545482200514396,0.186418489055158,269.350487420462,282.376338350402,78.3196080533267,177.698422144084
26,3,"2,4,5",0.386268299044972,0.367089183390128,0.128756099681657,302.459732075576,315.485583005517,109.059154879513,177.698422144084
27,4,"1,2,4,5",0.853554241067621,0.847388103849416,0.213388560266905,161.169457093978,176.800478209906,26.0231802919766,177.698422144084
28,3,"3,4,5",0.0785462955788151,0.0497508673156529,0.0261820985262717,343.09919937146,356.125050301401,163.740869354466,177.698422144084
29,4,"1,3,4,5",0.645498216250592,0.63057182535588,0.161374554062648,249.575283492876,265.206304608805,62.9944076195332,177.698422144084
30,4,"2,3,4,5",0.471468213759424,0.449214243812453,0.117867053439856,289.514240499619,305.145261615548,93.9192644679447,177.698422144084
31,5,"1,2,3,4,5",0.967895888415863,0.966188222906068,0.193579177683173,11.4023565902882,29.6385478922048,5.7048499728388,177.698422144084
32,1,"6",0.0386080263180649,0.0287979041376371,0.0386080263180649,343.34216640881,351.157676966774,170.837836785267,177.698422144084
33,2,"1,6",0.538763320740757,0.529253286116855,0.269381660370379,271.895077251902,282.315757995855,81.9610301393445,177.698422144084
34,2,"2,6",0.391861458878744,0.379322519886553,0.195930729439372,299.544217693153,309.964898437105,108.065259202253,177.698422144084
35,3,"1,2,6",0.84879521817945,0.844070068747557,0.28293173939315,162.367454627871,175.393305557811,26.8688511501523,177.698422144084
36,2,"3,6",0.100770740072791,0.082229930589756,0.0503853700363956,338.657747580072,349.078428324024,159.791620634858,177.698422144084
37,3,"1,3,6",0.630981814695918,0.619449996405165,0.210327271565306,251.588538272914,264.614389202854,65.5739492710087,177.698422144084
38,3,"2,3,6",0.478297131370232,0.461993916725552,0.159432377123411,286.213766586875,299.239617516816,92.7057765835522,177.698422144084
39,4,"1,2,3,6",0.966790192308903,0.965391884616646,0.241697548077226,12.7884701915312,28.4194913074598,5.90133042641644,177.698422144084
40,2,"4,6",0.0424167530601056,0.022672768587118,0.0212083765300528,344.945211648542,355.365892392494,170.161032052828,177.698422144084
41,3,"1,4,6",0.543124276155849,0.528846909785719,0.181041425385283,272.945087207626,285.970938137567,81.186095243042,177.698422144084
42,3,"2,4,6",0.393944371164662,0.375005132763557,0.131314790388221,301.20112358503,314.226974514971,107.69512897558,177.698422144084
43,4,"1,2,4,6",0.851373137644932,0.84511516449314,0.212843284411233,162.647834273246,178.278855389175,26.4107589287215,177.698422144084
