"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.549914239736556,0.545321527897133,0.549914239736556,341.633115814555,349.448626372519,"1"
2,0.764907829543834,0.760060568297315,0.382453914771917,278.687066713089,289.107747457042,"1,2"
3,0.990423086651836,0.990123808109706,0.330141028883945,-39.3751642235951,-26.3493132936546,"1,2,3"
4,0.990560564646073,0.990163114736434,0.247640141161518,-38.8210820658479,-23.1900609499193,"1,2,3,9"
5,0.990725043525507,0.990231694776863,0.198145008705101,-38.5789069118777,-20.342715609961,"1,2,3,5,7"
6,0.990852615610797,0.990262461779235,0.165142102601799,-37.9639005505789,-17.1225390626741,"1,2,3,5,7,9"
7,0.990941034620235,0.990251765515253,0.141563004945748,-36.9352067784269,-13.4886751045341,"1,2,3,5,7,8,9"
8,0.991031599179846,0.990243168338514,0.123878949897481,-35.9399605566834,-9.8882586968025,"1,2,3,5,6,7,8,9"
9,0.991052055094103,0.990157260603514,0.110116895010456,-34.1683098356966,-5.51143778982764,"1,2,3,4,5,6,7,8,9"
10,0.991054382435201,0.990049256866123,0.0991054382435201,-32.1943230023302,-0.932280770473049,"1,2,3,4,5,6,7,8,9,10"
