"metric","MAE","Bias","Variance","HitRate","n_correct","n_underfit","n_overfit"
"M_p",2.4,-2.4,0.8,0,0,5,0
"M_p_sqrt",3,-3,1,0,0,5,0
"AIC",2.6,2.6,4.3,0,0,0,5
"BIC",0.2,-0.2,0.2,0.8,4,1,0
