"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",1,5,-4,1,0,4,1,0.2,0.333333333333333,4,FALSE,"1"
"AIC",5,5,0,5,0,0,1,1,1,0,TRUE,"1,2,3,4,5"
"BIC",5,5,0,5,0,0,1,1,1,0,TRUE,"1,2,3,4,5"
