"scenario","true_p","p","M_p","R2","delta1_current","delta2_current","delta3_current","selected_p_current","delta1_proper","delta2_proper","delta3_proper","selected_p_proper","delta1_plus1","delta2_plus1","delta3_plus1","selected_p_plus1"
"A1_Baseline_Uncorrelated",3,1,0.502492196424732,0.502492196424732,-0.0981366188091337,-0.600628815233866,0.623212189590737,19,-0.0981366188091337,0.0112916871784355,0.0112916871784355,2,-0.0981366188091337,0.0112916871784355,0.0112916871784355,3
"A1_Baseline_Uncorrelated",3,2,0.404355577615599,0.808711155231198,-0.0868449316306982,0.022583374356871,-0.0291978232145075,19,-0.0868449316306982,0.022583374356871,-0.0291978232145075,2,-0.0868449316306982,0.022583374356871,-0.0291978232145075,3
"A1_Baseline_Uncorrelated",3,3,0.328802333163336,0.986406999490008,-0.078860468881081,-0.00661444885763651,0.0394706419182071,19,-0.078860468881081,-0.00661444885763651,0.0394706419182071,2,-0.078860468881081,-0.00661444885763651,0.0394706419182071,3
"A1_Baseline_Uncorrelated",3,4,0.246634639853437,0.986538559413747,-0.0657395967796139,0.0328561930605706,-0.0164227388148826,19,-0.0657395967796139,0.0328561930605706,-0.0164227388148826,2,-0.0657395967796139,0.0328561930605706,-0.0164227388148826,3
"A1_Baseline_Uncorrelated",3,5,0.197323139604108,0.986615698020541,-0.0410947731264846,0.016433454245688,-0.00704150762987568,19,-0.0410947731264846,0.016433454245688,-0.00704150762987568,2,-0.0410947731264846,0.016433454245688,-0.00704150762987568,3
"A1_Baseline_Uncorrelated",3,6,0.164445093600468,0.986670561602806,-0.0281820726957344,0.00939194661581233,-0.00352152632177716,19,-0.0281820726957344,0.00939194661581233,-0.00352152632177716,2,-0.0281820726957344,0.00939194661581233,-0.00352152632177716,3
"A1_Baseline_Uncorrelated",3,7,0.140958994212639,0.986712959488476,-0.0205508892408107,0.00587042029403517,-0.00195663292654634,19,-0.0205508892408107,0.00587042029403517,-0.00195663292654634,2,-0.0205508892408107,0.00587042029403517,-0.00195663292654634,3
"A1_Baseline_Uncorrelated",3,8,0.123343315118846,0.986746520950771,-0.0156587854100487,0.00391378736748883,-0.00117384315107849,19,-0.0156587854100487,0.00391378736748883,-0.00117384315107849,2,-0.0156587854100487,0.00391378736748883,-0.00117384315107849,3
"A1_Baseline_Uncorrelated",3,9,0.109641423392542,0.986772810532879,-0.0123319196180991,0.00273994421641034,-0.000747270424986526,19,-0.0123319196180991,0.00273994421641034,-0.000747270424986526,2,-0.0123319196180991,0.00273994421641034,-0.000747270424986526,3
"A1_Baseline_Uncorrelated",3,10,0.0986794758826482,0.986794758826482,-0.009965610614182,0.00199267379142382,-0.00049814196395298,19,-0.009965610614182,0.00199267379142382,-0.00049814196395298,2,-0.009965610614182,0.00199267379142382,-0.00049814196395298,3
"A1_Baseline_Uncorrelated",3,11,0.0897102021641781,0.986812223805959,-0.00822200780473467,0.00149453182747084,-0.000344814162955412,19,-0.00822200780473467,0.00149453182747084,-0.000344814162955412,2,-0.00822200780473467,0.00149453182747084,-0.000344814162955412,3
"A1_Baseline_Uncorrelated",3,12,0.0822354602731789,0.986825523278146,-0.00689988305874154,0.00114971766451542,-0.0002463175688633,19,-0.00689988305874154,0.00114971766451542,-0.0002463175688633,2,-0.00689988305874154,0.00114971766451542,-0.0002463175688633,3
"A1_Baseline_Uncorrelated",3,13,0.075910436046695,0.986835668607035,-0.00587332417865777,0.000903400095652124,-0.000180651451920588,19,-0.00587332417865777,0.000903400095652124,-0.000180651451920588,2,-0.00587332417865777,0.000903400095652124,-0.000180651451920588,3
"A1_Baseline_Uncorrelated",3,14,0.0704888119158633,0.986843366822087,-0.00506024980896594,0.000722748643731536,-0.000135480580968933,19,-0.00506024980896594,0.000722748643731536,-0.000135480580968933,2,-0.00506024980896594,0.000722748643731536,-0.000135480580968933,3
"A1_Baseline_Uncorrelated",3,15,0.0657899364287632,0.986849046431447,-0.00440524145571887,0.000587268062762603,-0.0001036427404369,19,-0.00440524145571887,0.000587268062762603,-0.0001036427404369,2,-0.00440524145571887,0.000587268062762603,-0.0001036427404369,3
"A1_Baseline_Uncorrelated",3,16,0.0616783290044256,0.986853264070809,-0.00386979476317472,0.000483625322325702,-8.05780091241506e-05,19,-0.00386979476317472,0.000483625322325702,-8.05780091241506e-05,2,-0.00386979476317472,0.000483625322325702,-8.05780091241506e-05,3
"A1_Baseline_Uncorrelated",3,17,0.0580503469024137,0.986855897341033,-0.00342645844541109,0.000403047313201552,-6.36226292562297e-05,19,-0.00342645844541109,0.000403047313201552,-6.36226292562297e-05,2,-0.00342645844541109,0.000403047313201552,-6.36226292562297e-05,3
"A1_Baseline_Uncorrelated",3,18,0.0548254121136034,0.986857418044861,-0.00305522244683765,0.000339424683945322,-5.08998161517712e-05,19,-0.00305522244683765,0.000339424683945322,-5.08998161517712e-05,2,-0.00305522244683765,0.000339424683945322,-5.08998161517712e-05,3
"A1_Baseline_Uncorrelated",3,19,0.0519399020087384,0.98685813816603,-0.00274124767096822,0.000288524867793551,-0.0470344564023891,19,-0.00274124767096822,0.000288524867793551,-0.000144262433896775,2,-0.00274124767096822,0.000288524867793551,-0.000144262433896775,3
"A1_Baseline_Uncorrelated",3,20,0.049342916771667,0.98685833543334,-0.00259698523707144,-0.0467459315345955,NA,19,-0.00259698523707144,0.000144262433896775,-0.000144262433896775,2,-0.00259698523707144,0.000144262433896775,-0.000144262433896775,3
"A2_Single_Predictor",1,1,0.951119307177283,0.951119307177283,-0.47530135761938,-1.42642066479666,1.74322261104678,2,-0.47530135761938,0.15840097312506,0.15840097312506,2,-0.47530135761938,0.15840097312506,0.15840097312506,3
"A2_Single_Predictor",1,2,0.475817949557903,0.951635899115806,-0.31690038449432,0.31680194625012,-0.237573022388005,2,-0.31690038449432,0.31680194625012,-0.237573022388005,2,-0.31690038449432,0.31680194625012,-0.237573022388005,3
