"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.42163276273238,0.415731056229649,0.42163276273238,328.827472047493,336.642982605458,"1"
2,0.576260750012485,0.567523858260165,0.288130375006242,299.718398457472,310.139079201424,"1,2"
3,0.667314175683656,0.65691774367377,0.222438058561219,277.526426907338,290.552277837279,"1,2,3"
4,0.675295289487364,0.661623512202621,0.168823822371841,277.098188124281,292.72920924021,"1,2,3,7"
5,0.67872698496724,0.661637994805923,0.135745396993448,278.035697073145,296.271888375062,"1,2,3,7,9"
6,0.681380215195797,0.660824100047138,0.113563369199299,279.206418970787,300.047780458692,"1,2,3,4,7,9"
7,0.682513988293655,0.658357443924694,0.097501998327665,280.849945470724,304.296477144617,"1,2,3,4,6,7,9"
8,0.682785748945044,0.654898781819333,0.0853482186181304,282.764311137815,308.816012997696,"1,2,3,4,6,7,9,10"
9,0.682862845568639,0.651149130125503,0.0758736495076266,284.740003908948,313.396875954817,"1,2,3,4,5,6,7,9,10"
10,0.682884857620904,0.647253942746848,0.0682884857620904,286.733062806051,317.995105037908,"1,2,3,4,5,6,7,8,9,10"
