"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.900107630609877,0.899088320718141,0.900107630609877,205.607636575377,213.423147133341,"2"
2,0.968240883063828,0.967586055910505,0.484120441531914,93.0162897213495,103.436970465302,"1,2"
3,0.990990961097287,0.990709428631577,0.330330320365762,-30.9788538636754,-17.953002933735,"1,2,3"
4,0.991254343044765,0.990886104857177,0.247813585761191,-31.945970532729,-16.3149494168004,"1,2,3,9"
5,0.991675369403453,0.991232569903636,0.198335073880691,-34.879827240731,-16.6436359388143,"1,2,3,4,9"
6,0.991815844822073,0.991287834810594,0.165302640803679,-34.5816944897831,-13.7403330018784,"1,2,3,4,9,10"
7,0.991873325523879,0.991254991596348,0.141696189360554,-33.2865138151192,-9.83998214122638,"1,2,3,4,5,6,9"
8,0.991969434688607,0.991263450924968,0.123996179336076,-32.4762009097022,-6.42449904982129,"1,2,3,4,5,6,9,10"
9,0.991989838212209,0.99118882203343,0.11022109313469,-30.7305975399867,-2.07372549411774,"1,2,3,4,5,6,7,9,10"
10,0.991992292481373,0.99109255006355,0.0991992292481373,-28.7612416804315,2.50080055142556,"1,2,3,4,5,6,7,8,9,10"
