"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.481830541230481,0.476543097773649,0.481830541230481,293.02355235388,300.839062911844,"1"
2,0.860362728779705,0.857483609785472,0.430181364389852,163.898133480904,174.318814224856,"1,2"
3,0.983974859828164,0.983474074197794,0.327991619942721,-50.5908055862652,-37.5649546563247,"1,2,3"
4,0.984399575465504,0.983742715485105,0.246099893866376,-51.276867806867,-35.6458466909384,"1,2,3,6"
5,0.984798475897451,0.983989884189868,0.19695969517949,-51.8671112973505,-33.6309199954338,"1,2,3,6,7"
6,0.984994066198619,0.98402594143724,0.16416567769977,-51.1621096066482,-30.3207481187434,"1,2,3,6,7,10"
7,0.985077737293685,0.983942347739943,0.140725391041955,-49.7212566507323,-26.2747249768395,"1,2,3,5,6,7,10"
8,0.985106733562877,0.983797435414559,0.12313834169536,-47.915761186905,-21.864059327024,"1,2,3,5,6,7,8,10"
9,0.985132850420446,0.98364613546249,0.109459205602272,-46.0912752943601,-17.4344032484911,"1,2,3,4,5,6,7,8,10"
10,0.985134044228231,0.983463712119043,0.0985134044228231,-44.0993054531444,-12.8372632212873,"1,2,3,4,5,6,7,8,9,10"
