"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.457261757497443,0.451723612165784,0.457261757497443,283.401945783286,291.21745634125,93.8138572907503,172.852859710375
3,2,"1,2",0.775159847701066,0.770523968272222,0.387579923850533,197.278202763206,207.698883507158,38.8642633025871,172.852859710375
7,3,"1,2,3",0.910837377385514,0.908051045428812,0.303612459128505,106.785423491578,119.811274421518,15.4120142981909,172.852859710375
23,4,"1,2,3,5",0.912173708202499,0.908475759074183,0.228043427050625,107.275321894375,122.906343010303,15.181025694956,172.852859710375
167,5,"1,2,3,6,8",0.913380331984659,0.908772902834907,0.182676066396932,107.891921525576,126.128112827492,14.972457323615,172.852859710375
183,6,"1,2,3,5,6,8",0.913988554196957,0.908439428661277,0.152331425699493,109.187269026336,130.028630514241,14.86732437488,172.852859710375
191,7,"1,2,3,4,5,6,8",0.914271735985411,0.907748933288649,0.130610247997916,110.857488516749,134.304020190642,14.8183755929277,172.852859710375
703,8,"1,2,3,4,5,6,8,10",0.914394729658671,0.906868991606686,0.114299341207334,112.713916279301,138.765618139181,14.7971157847785,172.852859710375
959,9,"1,2,3,4,5,6,8,9,10",0.914435525000731,0.905879077500805,0.101603947222303,114.66624974483,143.323121790699,14.7900641932405,172.852859710375
1023,10,"1,2,3,4,5,6,7,8,9,10",0.914470678730569,0.90486064263288,0.0914470678730569,116.625156810897,147.887199042754,14.7839877705086,172.852859710375
