"rule","p_star","p_true","p_diff","TP","FP","FN","precision","recall","F1","hamming_distance","exact_match","selected_subset"
"mp",2,3,-1,2,0,1,1,0.666666666666667,0.8,1,FALSE,"1,2"
"AIC",4,3,1,3,1,0,0.75,1,0.857142857142857,1,FALSE,"1,2,3,9"
"BIC",3,3,0,3,0,0,1,1,1,0,TRUE,"1,2,3"
