"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.087372519153347,0.128258849686415,0.0245390090941134,0.337480274399502,0.087372519153347,0.337480274399502,0.0780599938385853,0.330719869036232,382.893858749897,390.709369307862
2,45,0.0851260494248757,0.0793552640928564,0.0571240929813614,0.314930858626458,0.170252098849751,0.629861717252916,0.153143894702324,0.622230000082873,326.676492856075,337.097173600027
3,120,0.0829556800400568,0.0582535750631734,0.105420836240508,0.224535711643071,0.24886704012017,0.673607134929213,0.225394135123926,0.663407357895751,316.099001897706,329.124852827647
4,210,0.0808606165059636,0.0451628067506681,0.0870148366570546,0.170744505708024,0.323442466023854,0.682978022832098,0.294955833014332,0.669629729056607,315.185935567006,330.816956682935
5,252,0.078840123529681,0.0357386858285689,0.0773108644387818,0.137728213998155,0.394200617648405,0.688641069990773,0.361977246246724,0.672079424777517,315.383461807541,333.619653109458
6,210,0.0768936217804773,0.0283339948889239,0.0723051856149209,0.115594663409989,0.461361730682864,0.693567980459936,0.426610874597888,0.673798172747674,315.788419041232,336.629780529137
7,120,0.0750207541570877,0.0221171963252681,0.0683615765400281,0.099656144732627,0.525145279099614,0.697593013128389,0.489015028596324,0.674583785866419,316.466200436316,339.912732110209
8,45,0.0732214275201571,0.0165562313150596,0.0820968285813232,0.0872624986421021,0.585771420161257,0.698099989136816,0.549355720834774,0.671559328841152,318.298412828604,344.350114688485
9,10,0.0714958384731462,0.0112148473919324,0.0770443813615461,0.07759817831075,0.643462546258315,0.69838360479675,0.607808800884147,0.668221965276425,320.204425100032,348.861297145901
10,1,0.0698444908096616,NA,0.0698444908096616,0.0698444908096616,0.698444908096616,0.698444908096616,0.66456231350073,0.66456231350073,322.184098111311,353.446140343168
