"p","R2","M_p","AIC","BIC"
1,0.457105153377487,0.457105153377487,2034.32209459343,2038.53670269185
2,0.718159590700208,0.359079795350104,1708.53476345425,1716.96397965109
3,0.880856189563739,0.29361872985458,1280.02989758495,1292.67372188022
4,0.962031752657279,0.24050793816432,710.239377405984,727.097809799673
5,0.999633328499164,0.199926665699833,-1607.78019210937,-1586.70715161726
6,0.999633606151055,0.166605601025176,-1606.15894675107,-1580.87129816053
7,0.999633809808657,0.142804829972665,-1604.43694571952,-1574.93468903056
8,0.99963394505137,0.124954243131421,-1602.62164167282,-1568.90477688544
9,0.999634027854415,0.111070447539379,-1600.73475640048,-1562.80328351468
10,0.999634028045352,0.0999634028045352,-1598.73501726297,-1556.58893627875
